year month day camp flt prof lat lon alt pressure theta co2 co2qcls co2noaa co2ao2 strat co2mspo co2mqcls co2mnoaa co2mao2
2016 7 29 1 1 -1 34.54431 -117.9986 3425.711 682.6244 321.087 405.02 NA NA 404.7081 0 3.72 NA NA 0.312
2016 7 29 1 1 1 33.78689 -118.3698 6514.909 464.5777 327.5097 403.5 NA NA 403.084 0 2.2 NA NA 0.416
2016 7 29 1 1 1 30.47823 -120.5169 10419.58 274.8583 344.8873 403.56 403.5082 NA 403.8 0 2.26 0.052 NA -0.24
2016 7 29 1 1 2 28.34396 -120.5169 10417.94 274.9236 346.0594 404.1 403.8221 NA 404.2786 0 2.8 0.278 NA -0.179
2016 7 29 1 1 -1 25.79789 -120.5169 877.2186 918.1921 302.2888 404.21 404.3688 NA NA 0 2.91 -0.159 NA NA
2016 7 29 1 1 3 25.35688 -120.517 3125.758 706.1948 315.3014 403.04 403.1376 NA NA 0 1.74 -0.098 NA NA
2016 7 29 1 1 -1 19.68509 -120.517 6323.235 475.6127 327.9937 403.67 404.1318 NA NA 0 2.37 -0.462 NA NA
2016 7 29 1 1 4 19.11652 -120.5169 3200.248 699.3781 314.9266 402.54 402.7984 NA 402.8296 0 1.24 -0.258 NA -0.29
2016 7 29 1 1 -1 18.19898 -120.517 181.4666 994.0573 298.9325 402.49 402.7767 NA 403.1931 0 1.19 -0.287 NA -0.703
2016 7 29 1 1 5 17.64242 -120.5169 3283.817 691.8447 314.9876 402.7 403.1575 NA 403.0791 0 1.4 -0.458 NA -0.379
2016 7 29 1 1 5 15.78032 -120.517 9264.71 321.9133 341.1438 403.51 403.4554 NA 403.948 0 2.21 0.055 NA -0.438
2016 7 29 1 1 -1 13.64885 -120.517 10700.62 262.6748 345.1975 403.13 403.366 NA NA 0 1.83 -0.236 NA NA
2016 7 29 1 1 6 12.6462 -120.5169 6408.398 471.0787 329.723 403.37 403.2453 NA 403.5187 0 2.07 0.125 NA -0.149
2016 7 29 1 1 -1 11.08911 -120.5169 189.8044 991.8207 299.6409 403.53 403.8725 NA 403.6724 0 2.23 -0.343 NA -0.142
2016 7 29 1 1 7 10.64865 -120.5169 2978.708 716.7209 312.4617 403.35 403.6988 NA 403.3847 0 2.05 -0.349 NA -0.035
2016 7 29 1 1 -1 7.53073 -120.5169 10675.16 263.2291 344.6724 403.53 403.6837 NA 403.7052 0 2.23 -0.154 NA -0.175
2016 7 29 1 1 8 6.017297 -120.5168 2412.368 768.1561 309.3119 403.81 403.983 NA 403.6587 0 2.51 -0.173 NA 0.151
2016 7 29 1 1 8 5.275793 -120.5173 188.9092 992.3723 298.174 403.89 403.9349 NA 403.6994 0 2.59 -0.045 NA 0.191
2016 7 29 1 1 -1 5.23535 -120.5547 2918.826 721.6489 312.8282 403.8 404.024 NA 403.7645 0 2.5 -0.224 NA 0.036
2016 7 29 1 1 -1 8.741448 -120.517 11320.38 239.6036 346.5876 403.4 403.4393 NA 403.6903 0 2.1 -0.039 NA -0.29
2016 7 29 1 1 10 9.770201 -120.5171 6444.165 468.8077 329.2217 403.31 403.4824 NA 403.5249 0 2.01 -0.172 NA -0.215
2016 7 29 1 1 11 11.10266 -120.5163 188.6605 990.9947 300.1637 403.53 403.6935 NA NA 0 2.23 -0.163 NA NA
2016 7 29 1 1 11 11.63922 -120.7073 3318.714 687.8711 314.3884 403.39 403.784 NA NA 0 2.09 -0.394 NA NA
2016 7 29 1 1 11 14.45908 -120.5171 11336.37 239.2214 346.5294 403.22 403.0804 NA 403.4487 0 1.92 0.14 NA -0.229
2016 7 29 1 1 -1 15.98451 -120.5168 7207.821 425.8938 333.594 403.81 403.0471 NA 403.9007 0 2.51 0.763 NA -0.091
2016 7 29 1 1 12 16.91651 -120.5171 1507.104 853.4619 305.3048 403.61 403.4578 NA NA 0 2.31 0.152 NA NA
2016 7 29 1 1 12 17.3384 -120.5169 192.4427 991.7028 299.3401 402.87 402.9698 NA NA 0 1.57 -0.1 NA NA
2016 7 29 1 1 -1 18.03989 -120.5157 3133.325 704.2855 314.2102 402.91 402.1123 NA 403.0806 0 1.61 0.798 NA -0.171
2016 7 29 1 1 13 19.71052 -120.5159 10293.92 278.9247 345.0375 403.94 403.8958 NA 403.6282 0 2.64 0.044 NA 0.312
2016 7 29 1 1 13 21.25707 -120.5164 12001.94 217.2859 349.9076 404.8 404.7374 NA 404.8933 0 3.5 0.063 NA -0.093
2016 7 29 1 1 -1 24.21432 -120.5153 200.5767 990.992 297.1237 403.23 403.4485 NA 403.4313 0 1.93 -0.219 NA -0.201
2016 7 29 1 1 15 24.88137 -120.5156 4491.144 598.5689 319.4015 404.68 405.3786 NA 404.6392 0 3.38 -0.699 NA 0.041
2016 8 1 1 2 1 35.18675 -118.7592 4437.547 602.072 321.9331 403.8 NA NA NA 0 2.47 NA NA NA
2016 8 1 1 2 1 35.56338 -119.1148 6189.308 483.3099 327.4998 NA NA NA NA 0 NA NA NA NA
2016 8 1 1 2 1 37.96857 -119.5871 9681.351 301.7482 338.7824 403.95 403.8059 NA 403.6439 0 2.62 0.144 NA 0.306
2016 8 1 1 2 -1 40.54751 -120.1266 9655.284 301.3811 339.4543 403.65 403.5446 NA NA 0 2.32 0.105 NA NA
2016 8 1 1 2 -1 50.1567 -122.2172 9997.206 274.8331 328.3927 400.8 400.3916 NA 401.0026 0 -0.53 0.408 NA -0.203
2016 8 1 1 2 -1 54.81711 -123.6637 9959.255 274.8478 326.9192 399.91 399.8637 NA 400.1873 0 -1.42 0.046 NA -0.277
2016 8 1 1 2 -1 56.68822 -124.0815 9966.632 274.8788 327.7555 400.39 400.3551 NA 400.7232 0 -0.94 0.035 NA -0.333
2016 8 1 1 2 -1 58.12828 -124.4326 9952.41 274.8964 327.2824 399.69 399.8007 NA 400.3618 0 -1.64 -0.111 NA -0.672
2016 8 1 1 2 -1 59.74001 -124.8609 10525.12 250.56 329.0021 NA 399.2872 NA 399.6959 0 NA NA NA NA
2016 8 1 1 2 -1 62.77509 -125.7973 10488.99 250.5186 329.7722 NA 398.8033 NA NA 0 NA NA NA NA
2016 8 1 1 2 -1 70.16863 -129.0868 10384.34 250.5176 327.1077 396.12 396.0321 NA 396.2228 0 -5.21 0.088 NA -0.103
2016 8 1 1 2 -1 71.56347 -129.9966 8196.66 343.4472 321.3814 396.46 396.5331 NA 396.5823 0 -4.87 -0.073 NA -0.122
2016 8 1 1 2 -1 75.69917 -133.7342 9406.375 275.2483 338.4934 400.49 400.6491 NA 400.6522 1 -0.84 -0.159 NA -0.162
2016 8 1 1 2 2 77.29194 -135.8332 5993.868 449.4865 302.675 394.83 394.8599 NA 394.935 0 -6.5 -0.03 NA -0.105
2016 8 1 1 2 2 77.83425 -136.6815 2394.768 731.3985 286.1165 395.56 395.3359 NA 395.7038 0 -5.77 0.224 NA -0.144
2016 8 1 1 2 3 78.17981 -137.267 966.4649 878.863 277.3029 394.59 394.8693 NA 394.6745 0 -6.74 -0.279 NA -0.085
2016 8 1 1 2 -1 79.17874 -142.103 4163.79 576.2964 290.954 395.7 395.6633 NA 395.7394 0 -5.63 0.037 NA -0.039
2016 8 1 1 2 4 78.97684 -142.515 1622.713 809.2245 280.181 NA 395.091 NA 395.653 0 NA NA NA NA
2016 8 1 1 2 4 78.85972 -142.9479 213.2752 970.4139 272.4899 394.37 394.3045 NA 394.0867 0 -6.96 0.065 NA 0.283
2016 8 1 1 2 -1 78.61066 -142.7484 432.6754 942.8399 273.1588 394.25 394.4161 NA 394.368 0 -7.08 -0.166 NA -0.118
2016 8 1 1 2 5 78.13129 -143.3515 3461.462 634.9008 291.384 395.22 396.4182 NA 395.124 0 -6.11 -1.198 NA 0.096
2016 8 1 1 2 5 77.36519 -144.102 6617.114 411.2459 306.9259 395.76 395.7031 NA 395.7581 0 -5.57 0.057 NA 0.002
2016 8 1 1 2 5 76.24816 -145.0527 9717.68 263.0055 335.8114 400.86 400.7754 NA 400.7564 1 -0.47 0.085 NA 0.104
2016 8 1 1 2 -1 72.37422 -147.4325 9963.044 262.8161 327.4719 397.09 397.1465 NA 397.5179 0 -4.24 -0.057 NA -0.428
2016 8 1 1 2 6 71.49682 -147.8473 6954.524 411.884 318.5986 396.16 396.0353 NA 396.3643 0 -5.17 0.125 NA -0.204
2016 8 1 1 2 7 69.71259 -148.5339 3931.035 618.7639 306.6876 NA 396.0544 NA 395.6924 0 NA NA NA NA
2016 8 1 1 2 7 68.9489 -148.4371 7920.231 365.5581 322.2989 396.89 397.0503 NA 396.9533 0 -4.44 -0.16 NA -0.063
2016 8 1 1 2 9 64.14771 -148.9603 6098.618 473.9716 318.3632 395.77 396.155 NA NA 0 -5.56 -0.385 NA NA
2016 8 3 1 2 10 62.87266 -149.7636 11425.58 218.833 333.479 395.47 395.4583 NA 395.7182 0 -5.84 0.012 NA -0.248
2016 8 3 1 3 1 60.64001 -151.1546 5870.114 489.167 313.921 395.39 395.3293 395.1803 395.3668 0 -5.91 0.061 0.21 0.023
2016 8 3 1 3 1 59.4308 -154.8769 9377.61 301.0644 326.4119 NA 401.1652 401.1787 401.3147 0 NA NA NA NA
2016 8 3 1 3 -1 57.64285 -158.8141 9404.952 301.1759 328.323 400.05 400.1776 400.0559 400.0751 0 -1.26 -0.128 -0.006 -0.025
2016 8 3 1 3 -1 56.19453 -161.3107 8787.204 330.1455 326.8641 401.02 400.8946 400.9349 401.3479 0 -0.29 0.125 0.085 -0.328
2016 8 3 1 3 2 55.2407 -162.7507 252.6815 987.4573 288.1529 400.4 400.35 400.2339 400.6182 0 -0.91 0.05 0.166 -0.218
2016 8 3 1 3 3 54.9719 -162.4397 2186.785 784.1212 301.4151 399.06 399.3085 399.1198 399.484 0 -2.25 -0.248 -0.06 -0.424
2016 8 3 1 3 3 54.42397 -162.1926 4949.355 555.3106 314.2832 NA 399.6633 399.5884 NA 0 NA NA NA NA
2016 8 3 1 3 3 53.76489 -162.0172 8102.116 364.37 325.2387 399.83 399.9538 399.7061 400.0322 0 -1.48 -0.124 0.124 -0.202
2016 8 3 1 3 -1 50.25812 -161.0678 9800.624 289.5063 330.7882 399.44 399.5205 399.4956 399.9173 0 -1.87 -0.081 -0.056 -0.477
2016 8 3 1 3 4 48.82117 -160.6884 1800.956 832.1823 299.4196 401.62 401.1872 400.8271 401.3646 0 0.31 0.433 0.793 0.255
2016 8 3 1 3 5 48.29577 -160.5551 461.9964 975.3217 292.6416 402.96 403.1273 402.823 403.2801 0 1.65 -0.167 0.137 -0.32
2016 8 3 1 3 5 47.8025 -160.4323 3683.767 661.3349 307.8523 399.51 399.8649 399.4485 NA 0 -1.8 -0.355 0.061 NA
2016 8 3 1 3 -1 45.14284 -159.8102 9516.867 303.9077 328.6498 400.73 400.5093 400.5857 400.9368 0 -0.58 0.221 0.144 -0.207
2016 8 3 1 3 6 44.14802 -159.5924 4348.898 613.9127 310.386 402.35 402.8866 402.1091 402.3834 0 1.04 -0.537 0.241 -0.033
2016 8 3 1 3 6 43.03898 -159.3595 183.3303 1013.213 291.2193 401.16 400.9626 401.0103 401.0927 0 -0.16 0.197 0.15 0.067
