year month day hour min sec flt prof lat lon alt pressure theta strat co2 co2mspo
2016 1 5 19 19 54 -3 1 39.91603 -105.0326 2191.168 775.6521 297.9567 0 409.7578 11.0443
2016 1 5 19 20 4 -3 1 39.90609 -105.0387 2193.571 775.0076 297.9752 0 409.7551 11.04156
2016 1 5 19 25 34 -3 1 39.91636 -105.1186 2195.336 774.7889 296.7315 0 409.4183 10.70465
2016 1 5 19 25 44 -3 1 39.92461 -105.1124 2197.72 774.5282 296.6593 0 409.4204 10.70683
2016 1 5 19 25 54 -3 1 39.93303 -105.1064 2200.903 774.3009 296.7067 0 409.4226 10.709
2016 1 5 19 26 4 -3 1 39.94195 -105.1014 2236.773 770.4149 297.1743 0 409.4247 10.71108
2016 1 5 19 26 14 -3 1 39.95125 -105.0967 2272.973 766.7951 297.922 0 409.4201 10.70648
2016 1 5 19 26 24 -3 1 39.96099 -105.0917 2311.425 762.5816 298.3259 0 409.1946 10.48102
2016 1 5 19 26 34 -3 1 39.97123 -105.0865 2363.998 757.4192 298.6984 0 408.4988 9.785143
2016 1 5 19 26 44 -3 1 39.98186 -105.081 2443.078 750.0911 299.6386 0 408.4587 9.745023
2016 1 5 19 26 54 -3 1 39.99275 -105.0753 2576.53 737.627 300.4671 0 406.3557 7.642045
2016 1 5 19 27 4 -3 1 40.00385 -105.0695 2730.55 723.6229 300.958 0 405.3256 6.611958
2016 1 5 19 27 14 -3 1 40.01519 -105.0636 2884.5 709.866 301.3364 0 405.2021 6.488426
2016 1 5 19 27 24 -3 1 40.0267 -105.0577 3048.583 695.4475 301.9505 0 404.3933 5.679603
2016 1 5 19 27 34 -3 1 40.03839 -105.0518 3198.727 682.324 302.1498 0 404.2331 5.519403
2016 1 5 19 27 44 -3 1 40.05011 -105.0444 3266.307 676.7874 301.9044 0 404.1653 5.45161
2016 1 5 19 27 54 -3 1 40.06114 -105.0334 3305.509 673.6369 301.8746 0 404.1314 5.417761
2016 1 5 19 28 4 -3 1 40.07112 -105.0194 3343.338 670.5856 301.8958 0 404.1014 5.387748
2016 1 5 19 28 14 -3 1 40.07924 -105.0023 3398.149 666.1259 302.1921 0 403.7271 5.01344
2016 1 5 19 28 24 -3 1 40.08474 -104.9828 3494.056 658.1393 302.7066 0 403.1721 4.458454
2016 1 5 19 28 34 -3 1 40.08746 -104.9618 3629.007 646.9006 303.1971 0 403.0471 4.33341
2016 1 5 19 28 44 -3 1 40.08741 -104.9404 3770.243 635.3917 303.5077 0 402.9157 4.202075
2016 1 5 19 28 54 -3 1 40.08439 -104.9191 3918.417 623.413 303.6346 0 402.706 3.992291
2016 1 5 19 29 4 -3 1 40.07848 -104.8987 4072.186 611.1637 303.7971 0 402.6142 3.900473
2016 1 5 19 29 14 -3 1 40.07061 -104.8794 4231.41 598.7125 304.1188 0 402.5195 3.805857
2016 1 5 19 29 24 -3 1 40.06228 -104.8604 4385.305 586.8332 304.5356 0 402.4279 3.714222
2016 1 5 19 29 34 -3 1 40.05387 -104.8412 4522.407 576.4196 304.6302 0 402.697 3.983272
2016 1 5 19 29 44 -3 1 40.04541 -104.822 4662.862 565.8729 304.8098 0 402.699 3.985259
2016 1 5 19 29 54 -3 1 40.03691 -104.8026 4795.211 556.1145 305.145 0 402.7008 3.987124
2016 1 5 19 30 4 -3 1 40.02838 -104.7831 4931.788 546.1452 305.3662 0 402.7027 3.989039
2016 1 5 19 30 14 -3 1 40.01981 -104.7635 5070.656 536.153 305.7237 0 402.7047 3.990981
2016 1 5 19 30 24 -3 1 40.01122 -104.7439 5205.049 526.6561 306.713 0 403.1863 4.472553
2016 1 5 19 30 34 -3 1 40.00252 -104.7241 5307.971 519.4481 307.0671 0 403.2204 4.506677
2016 1 5 19 30 44 -3 1 39.99373 -104.704 5427.58 511.2229 307.4445 0 403.3796 4.665841
2016 1 5 19 30 54 -3 1 39.98494 -104.684 5591.67 499.9688 308.1082 0 403.4525 4.738768
2016 1 5 19 31 4 -3 1 39.97633 -104.6643 5826.104 484.2754 308.7993 0 403.5524 4.838695
2016 1 5 19 31 14 -3 1 39.96788 -104.6451 6044.096 470.0205 309.516 0 403.8374 5.123718
2016 1 5 19 31 24 -3 1 39.95951 -104.626 6219.971 458.7563 309.6844 0 403.8864 5.1727
2016 1 5 19 31 34 -3 1 39.95114 -104.607 6359.496 449.9677 309.9093 0 403.9264 5.212655
2016 1 5 19 31 44 -3 1 39.94273 -104.5878 6481.273 442.411 310.193 0 403.9619 5.248187
2016 1 5 19 31 54 -3 1 39.93425 -104.5686 6595.792 435.3949 310.4919 0 403.9956 5.281893
2016 1 5 19 32 4 -3 1 39.9257 -104.5491 6699.754 429.0919 310.9089 0 404.0267 5.313
2016 1 5 19 32 14 -3 1 39.91705 -104.5295 6804.556 422.8434 311.137 0 404.058 5.3443
2016 1 5 19 32 24 -3 1 39.90834 -104.5096 6915.716 416.3075 311.4156 0 404.266 5.552216
2016 1 5 19 32 34 -3 1 39.89954 -104.4897 7015.174 410.4853 312.1262 0 404.2766 5.562855
2016 1 5 19 32 44 -3 1 39.89067 -104.4695 7117.383 404.6141 312.6287 0 404.2874 5.573631
2016 1 5 19 32 54 -3 1 39.88172 -104.4492 7223.087 398.6294 312.8231 0 404.2984 5.584666
2016 1 5 19 33 4 -3 1 39.87273 -104.4288 7329.413 392.6259 312.9589 0 404.3095 5.595764
2016 1 5 19 33 14 -3 1 39.86366 -104.4082 7428.165 387.096 313.0581 0 404.3201 5.60636
2016 1 5 19 33 24 -3 1 39.85452 -104.3875 7530.749 381.4612 313.1374 0 404.331 5.617237
2016 1 5 19 33 34 -3 1 39.84532 -104.3666 7632.324 375.9191 313.2243 0 404.3418 5.628066
2016 1 5 19 33 44 -3 1 39.83607 -104.3457 7741.348 370.078 313.3976 0 404.3532 5.639406
2016 1 5 19 33 54 -3 1 39.82679 -104.3247 7845.934 364.4731 313.5218 0 404.463 5.749217
2016 1 5 19 34 4 -3 1 39.81744 -104.3036 7948.498 359.0462 313.6284 0 404.4249 5.711144
2016 1 5 19 34 14 -3 1 39.80807 -104.2824 8055.514 353.4756 313.8187 0 404.3853 5.67149
2016 1 5 19 34 24 -3 1 39.79868 -104.2611 8165.282 347.8419 313.9638 0 404.3447 5.630876
2016 1 5 19 34 34 -3 1 39.78926 -104.2398 8269.641 342.5367 314.0718 0 404.306 5.592245
2016 1 5 19 34 44 -3 1 39.77981 -104.2185 8368.82 337.5217 314.1719 0 404.2694 5.555574
2016 1 5 19 34 54 -3 1 39.77032 -104.1971 8471.309 332.4223 314.2689 0 404.2315 5.517731
2016 1 5 19 35 4 -3 1 39.76083 -104.1757 8580.655 326.9675 314.4279 0 404.1912 5.477373
2016 1 5 19 38 34 -3 1 39.57589 -103.735 10585.42 239.3785 324.3245 1 401.3545 2.640676
2016 1 5 19 38 44 -3 1 39.56976 -103.7115 10619.99 238.0965 325.7938 0 401.2974 2.583548
2016 1 5 19 38 54 -3 1 39.56356 -103.6877 10644.67 237.1611 327.3945 0 401.2563 2.542415
2016 1 5 19 39 4 -3 1 39.55728 -103.6636 10665.9 236.3747 327.6867 0 401.2207 2.506849
2016 1 5 19 39 14 -3 1 39.55093 -103.6392 10688.25 235.5148 327.9301 0 401.1834 2.469536
2016 1 5 19 39 24 -3 1 39.54449 -103.6145 10708.65 234.7582 328.281 0 401.1492 2.43533
2016 1 5 19 39 34 -3 1 39.53798 -103.5896 10737.63 233.6796 328.9297 0 401.1012 2.387311
2016 1 5 19 39 44 -3 1 39.5314 -103.5644 10772.83 232.401 329.5944 0 401.0432 2.329257
2016 1 5 19 39 54 -3 1 39.52478 -103.5391 10822.75 230.5742 331.4312 0 400.9614 2.247477
2016 1 5 19 40 4 -3 1 39.51812 -103.5137 10860.72 229.2498 332.1726 0 400.8989 2.185029
2016 1 5 19 40 14 -3 1 39.51141 -103.4881 10907.41 227.56 332.4824 0 400.8228 2.108927
2016 1 5 19 40 24 -3 1 39.50467 -103.4624 10965.48 225.5001 333.3567 1 400.7289 2.014989
2016 1 5 19 40 34 -3 1 39.49789 -103.4366 11016.72 223.7136 334.7647 1 400.6459 1.932018
2016 1 5 19 40 44 -3 1 39.49107 -103.4107 11057.61 222.3259 336.2646 1 400.5794 1.865531
2016 1 5 19 40 54 -3 1 39.48422 -103.3847 11114.5 220.3944 338.005 1 400.4872 1.77331
2016 1 5 19 41 4 -3 1 39.47737 -103.3587 11190.91 217.7319 339.2853 1 400.3637 1.649774
2016 1 5 19 41 14 -3 1 39.4705 -103.3326 11223.64 216.6333 339.6838 1 400.3105 1.596585
2016 1 5 19 41 24 -3 1 39.46361 -103.3066 11222.38 216.7135 339.8017 1 400.3121 1.598124
2016 1 5 19 41 34 -3 1 39.45674 -103.2807 11225.13 216.6428 339.9645 1 400.3071 1.593209
2016 1 5 19 41 44 -3 1 39.44988 -103.2547 11225.98 216.6246 339.909 1 400.3053 1.591362
2016 1 5 19 41 54 -3 1 39.44304 -103.2289 11226.71 216.6085 340.1077 1 400.3037 1.589716
2016 1 5 19 42 4 -3 1 39.43619 -103.2031 11226.99 216.6026 340.1073 1 400.3027 1.588776
2016 1 5 19 42 14 -3 1 39.42934 -103.1774 11253 215.7286 340.4805 1 400.2604 1.546488
2016 1 5 19 42 24 -3 1 39.42251 -103.1518 11322.49 213.4222 341.5788 1 400.1484 1.43445
2016 1 5 19 42 34 -3 1 39.41571 -103.1262 11387.91 211.296 342.6619 1 400.043 1.329052
2016 1 5 19 42 44 -3 1 39.40891 -103.1007 11447.67 209.3434 343.0325 1 399.9785 1.264506
2016 1 5 19 42 54 -3 1 39.40211 -103.0753 11500.62 207.6174 343.2947 1 399.9441 1.230183
2016 1 5 19 43 4 -3 1 39.39531 -103.0499 11536.05 206.453 343.3274 1 399.9212 1.207283
2016 1 5 19 43 14 -3 1 39.38848 -103.0244 11535.92 206.4326 343.2569 1 399.9215 1.207559
2016 1 5 19 43 24 -3 1 39.38165 -102.9988 11535.61 206.4686 343.2764 1 399.9579 1.243934
2016 1 5 19 43 34 -3 1 39.37483 -102.9734 11536.87 206.4294 343.3306 1 399.9569 1.242907
2016 1 5 19 43 44 -3 1 39.36799 -102.9479 11537.64 206.4075 343.4576 1 399.9562 1.242234
2016 1 5 19 43 54 -3 1 39.36116 -102.9225 11538.04 206.3976 343.5165 1 399.9558 1.241816
2016 1 5 19 44 4 -3 1 39.35432 -102.897 11537.93 206.4077 343.5632 1 399.9557 1.241747
2016 1 5 19 44 14 -3 1 39.34747 -102.8716 11538.5 206.3882 343.5535 1 399.9552 1.241214
2016 1 5 19 44 24 -3 1 39.34062 -102.8462 11539.17 206.3474 343.5864 1 399.9546 1.240609
2016 1 5 19 44 34 -3 1 39.33375 -102.8207 11558.79 205.6805 343.7868 1 399.9407 1.226756
2016 1 5 19 44 44 -3 1 39.32687 -102.7953 11612.36 204.0134 344.6672 1 399.9031 1.189136
2016 1 5 19 44 54 -3 1 39.32001 -102.7699 11683.93 201.7627 345.7267 1 399.8529 1.13895
2016 1 5 19 45 4 -3 1 39.31316 -102.7446 11751.17 199.6628 346.578 1 399.8019 1.087906
2016 1 5 19 45 14 -3 1 39.3063 -102.7193 11797.56 198.2007 347.5837 1 399.7696 1.055634
2016 1 5 19 45 24 -3 1 39.29942 -102.694 11833.28 197.1124 348.2697 1 399.7448 1.030792
2016 1 5 19 45 34 -3 1 39.2925 -102.6685 11855.12 196.4512 348.2696 1 399.7296 1.015609
2016 1 5 19 45 44 -3 1 39.28553 -102.6429 11871.67 195.9844 348.2835 1 399.7181 1.004076
2016 1 5 19 45 54 -3 1 39.27851 -102.6171 11886.13 195.5474 348.5697 1 399.708 0.9940277
2016 1 5 19 46 4 -3 1 39.27143 -102.5911 11904 194.9729 348.6515 1 399.6956 0.981588
2016 1 5 19 46 14 -3 1 39.26434 -102.5651 11952.79 193.5253 350.0672 1 399.6618 0.947726
2016 1 5 19 46 24 -3 1 39.25726 -102.5392 12007.91 191.9036 351.7278 1 399.6235 0.9094766
2016 1 5 19 46 34 -3 1 39.25014 -102.5132 12044.33 190.784 352.1522 1 399.5982 0.8842166
2016 1 5 19 46 44 -3 1 39.24301 -102.4871 12076.61 189.8168 352.4273 1 399.576 0.8619615
2016 1 5 19 46 54 -3 1 39.23586 -102.461 12108.59 188.8757 353.0947 1 399.554 0.8399648
2016 1 5 19 47 4 -3 1 39.22868 -102.4348 12141.37 187.9201 353.5401 1 399.5315 0.8174424
2016 1 5 19 47 14 -3 1 39.22148 -102.4086 12177.07 186.8727 354.2385 1 399.5069 0.7929009
2016 1 5 19 47 24 -3 1 39.21427 -102.3824 12213.29 185.8566 354.966 1 399.4821 0.7680083
2016 1 5 19 47 34 -3 1 39.20704 -102.3561 12238.19 185.1357 355.2318 1 399.465 0.750961
2016 1 5 19 47 44 -3 1 39.19976 -102.3296 12249.7 184.8104 354.9279 1 399.4573 0.7432052
2016 1 5 19 47 54 -3 1 39.19242 -102.303 12258.54 184.5549 354.9959 1 399.4514 0.7373047
2016 1 5 19 48 4 -3 1 39.18504 -102.2763 12283.74 183.8503 355.3626 1 399.4341 0.7200737
2016 1 5 19 48 14 -3 1 39.17765 -102.2495 12323.28 182.7451 355.6916 1 399.407 0.6929401
2016 1 5 19 48 24 -3 1 39.17025 -102.2228 12361.48 181.6502 356.319 1 399.3808 0.6667415
2016 1 5 19 48 34 -3 1 39.16282 -102.196 12398 180.5963 357.3121 1 399.3558 0.6417089
2016 1 5 19 48 44 -3 1 39.15539 -102.1692 12445.47 179.3004 358.661 1 399.3232 0.6091329
2016 1 5 19 48 54 -3 1 39.14796 -102.1425 12475.88 178.4492 359.2628 1 399.303 0.588877
2016 1 5 19 49 4 -3 1 39.14049 -102.1156 12478.24 178.3561 359.1837 1 399.3016 0.587544
2016 1 5 19 49 14 -3 1 39.13297 -102.0886 12473.32 178.5033 359.1942 1 399.3053 0.5911913
2016 1 5 19 49 24 -3 1 39.12542 -102.0615 12476.34 178.4549 359.2909 1 399.3035 0.5893981
2016 1 5 19 49 34 -3 1 39.11786 -102.0343 12477.49 178.4205 359.3525 1 399.303 0.5888964
