year month day hour min sec flt prof lat lon alt pressure theta strat co2 co2mspo
2016 1 5 19 19 54 -3 1 39.91603 -105.0326 2191.168 775.6521 297.9567 0 69.5378 7.022745
2016 1 5 19 20 4 -3 1 39.90609 -105.0387 2193.571 775.0076 297.9752 0 69.53594 7.020882
2016 1 5 19 25 34 -3 1 39.91636 -105.1186 2195.336 774.7889 296.7315 0 69.4164 6.901319
2016 1 5 19 25 44 -3 1 39.92461 -105.1124 2197.72 774.5282 296.6593 0 69.41801 6.902926
2016 1 5 19 25 54 -3 1 39.93303 -105.1064 2200.903 774.3009 296.7067 0 69.41957 6.90449
2016 1 5 19 26 4 -3 1 39.94195 -105.1014 2236.773 770.4149 297.1743 0 69.42096 6.905879
2016 1 5 19 26 14 -3 1 39.95125 -105.0967 2272.973 766.7951 297.922 0 69.41978 6.9047
2016 1 5 19 26 24 -3 1 39.96099 -105.0917 2311.425 762.5816 298.3259 0 69.3461 6.831016
2016 1 5 19 26 34 -3 1 39.97123 -105.0865 2363.998 757.4192 298.6984 0 69.10083 6.58575
2016 1 5 19 26 44 -3 1 39.98186 -105.081 2443.078 750.0911 299.6386 0 69.09614 6.581057
2016 1 5 19 26 54 -3 1 39.99275 -105.0753 2576.53 737.627 300.4671 0 68.51832 6.003236
2016 1 5 19 27 4 -3 1 40.00385 -105.0695 2730.55 723.6229 300.958 0 68.44071 5.92563
2016 1 5 19 27 14 -3 1 40.01519 -105.0636 2884.5 709.866 301.3364 0 68.3972 5.882112
2016 1 5 19 27 24 -3 1 40.0267 -105.0577 3048.583 695.4475 301.9505 0 68.2069 5.691816
2016 1 5 19 27 34 -3 1 40.03839 -105.0518 3198.727 682.324 302.1498 0 68.14813 5.63304
2016 1 5 19 27 44 -3 1 40.05011 -105.0444 3266.307 676.7874 301.9044 0 68.12614 5.611052
2016 1 5 19 27 54 -3 1 40.06114 -105.0334 3305.509 673.6369 301.8746 0 68.11925 5.604161
2016 1 5 19 28 4 -3 1 40.07112 -105.0194 3343.338 670.5856 301.8958 0 68.11551 5.60042
2016 1 5 19 28 14 -3 1 40.07924 -105.0023 3398.149 666.1259 302.1921 0 67.94924 5.434157
