year month day hour min sec flt prof lat lon alt pressure theta strat co2 co2mspo
2016 1 5 19 19 54 -3 1 39.92 -105.03 2191.17 775.6521 297.9567 0 405.851 7.280983
2016 1 5 19 20 4 -3 1 39.91 -105.04 2193.57 775.0076 297.9752 0 405.835 7.264991
2016 1 5 19 25 34 -3 1 39.92 -105.12 2195.34 774.7889 296.7315 0 405.916 7.345955
2016 1 5 19 25 44 -3 1 39.92 -105.11 2197.72 774.5282 296.6593 0 405.9009 7.33094
2016 1 5 19 25 54 -3 1 39.93 -105.11 2200.9 774.3009 296.7067 0 405.878 7.307991
2016 1 5 19 26 4 -3 1 39.94 -105.1 2236.77 770.4149 297.1743 0 405.607 7.036995
2016 1 5 19 26 14 -3 1 39.95 -105.1 2272.97 766.7951 297.922 0 405.332 6.762001
2016 1 5 19 26 24 -3 1 39.96 -105.09 2311.43 762.5816 298.3259 0 405.038 6.467964
2016 1 5 19 26 34 -3 1 39.97 -105.09 2364 757.4192 298.6984 0 404.634 6.063972
2016 1 5 19 26 44 -3 1 39.98 -105.08 2443.08 750.0911 299.6386 0 404.415 5.845009
2016 1 5 19 26 54 -3 1 39.99 -105.08 2576.53 737.627 300.4671 0 404.296 5.725959
2016 1 5 19 27 4 -3 1 40 -105.07 2730.55 723.6229 300.958 0 404.1599 5.589943
2016 1 5 19 27 14 -3 1 40.02 -105.06 2884.5 709.866 301.3364 0 404.024 5.453987
2016 1 5 19 27 24 -3 1 40.03 -105.06 3048.58 695.4475 301.9505 0 403.8889 5.318916
2016 1 5 19 27 34 -3 1 40.04 -105.05 3198.73 682.324 302.1498 0 403.774 5.204017
2016 1 5 19 27 44 -3 1 40.05 -105.04 3266.31 676.7874 301.9044 0 403.7229 5.152931
2016 1 5 19 27 54 -3 1 40.06 -105.03 3305.51 673.6369 301.8746 0 403.692 5.121956
2016 1 5 19 28 4 -3 1 40.07 -105.02 3343.34 670.5856 301.8958 0 403.664 5.093971
2016 1 5 19 28 14 -3 1 40.08 -105 3398.15 666.1259 302.1921 0 403.622 5.051979
2016 1 5 19 28 24 -3 1 40.08 -104.98 3494.06 658.1393 302.7066 0 403.5489 4.97892
2016 1 5 19 28 34 -3 1 40.09 -104.96 3629.01 646.9006 303.1971 0 403.445 4.875007
2016 1 5 19 28 44 -3 1 40.09 -104.94 3770.24 635.3917 303.5077 0 403.357 4.786964
2016 1 5 19 28 54 -3 1 40.08 -104.92 3918.42 623.413 303.6346 0 403.288 4.717994
